City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,murzuq,25.9155,13.9184,294.1,23,0,2.39,LY,1697597037
125,nobres,-14.7203,-56.3275,302.08,33,11,1.17,BR,1697597037
126,guanica,17.9716,-66.908,300.88,64,6,2.71,PR,1697597037
127,sulak,43.2734,47.5146,281.55,52,56,2.05,RU,1697597037
128,suva,-18.1416,178.4415,299.86,74,75,5.14,FJ,1697597037
129,vorgashor,67.5833,63.95,275.19,96,100,4.41,RU,1697597038
130,villa corzo,16.1667,-93.25,290.43,92,90,1.73,MX,1697597038
131,minas de marcona,-15.2119,-75.1103,289.15,81,95,3.76,PE,1697597038
132,dudinka,69.4058,86.1778,272.97,98,100,2.68,RU,1697597038
133,linxia chengguanzhen,35.6003,103.2064,276.97,96,100,1.72,CN,1697596757
134,cabedelo,-6.9811,-34.8339,296.52,77,57,5.81,BR,1697597038
135,basoko,1.2391,23.616,294.41,94,92,0.31,CD,1697597039
136,enewetak,11.3474,162.3373,301.75,76,42,7.08,MH,1697597039
137,alice springs,-23.7,133.8833,299.9,12,0,5.14,AU,1697596890
138,qaqortoq,60.7167,-46.0333,271.97,56,7,1.88,GL,1697597039
139,puerto deseado,-47.7503,-65.8938,284.35,52,100,10.16,AR,1697597039
140,atafu village,-8.5421,-172.5159,301.72,72,100,2.38,TK,1697597015
141,port shepstone,-30.7414,30.455,289.19,83,22,3.87,ZA,1697597040
142,thale,51.75,11.05,279.31,89,7,1.61,DE,1697597040
143,plesetsk,62.708,40.2916,275.51,95,100,5.15,RU,1697597040
144,pocatello,42.8713,-112.4455,289.2,52,0,8.23,US,1697597040
145,mejit,10.2753,170.8646,301.39,77,52,6.0,MH,1697597040
146,buri ram,14.9943,103.1039,302.3,71,99,2.13,TH,1697597041
147,yuzhno-kurilsk,44.0306,145.8556,283.91,75,17,6.82,RU,1697597041
148,winnemucca,40.973,-117.7357,287.18,44,0,0.0,US,1697597041
149,palmer,42.1584,-72.3287,284.87,83,75,0.0,US,1697597041
150,shahriar,35.6596,51.0593,288.31,54,35,0.33,IR,1697597042
151,sao tome,0.3365,6.7273,298.92,85,100,2.66,ST,1697597042
152,san patricio,28.017,-97.5169,294.06,47,0,3.27,US,1697597042
153,kodiak,57.79,-152.4072,281.88,81,100,4.63,US,1697597042
154,muromtsevo,56.3724,75.2418,281.58,86,48,2.65,RU,1697597042
155,kavaratti,10.5669,72.642,301.27,72,81,1.18,IN,1697597029
156,purisima de la concepcion,9.2366,-75.7219,300.18,85,27,2.01,CO,1697597042
157,lamu,-2.2717,40.902,299.27,89,100,4.32,KE,1697597043
158,touros,-5.1989,-35.4608,298.2,76,39,6.69,BR,1697597043
159,lorengau,-2.0226,147.2712,303.12,66,74,2.49,PG,1697597043
160,balabac,7.9868,117.0645,302.65,73,82,3.99,PH,1697597043
161,qarauyl,48.9451,79.255,278.92,60,2,4.32,KZ,1697597043
162,monze,-16.2833,27.4833,292.82,87,6,1.94,ZM,1697597044
163,doka,13.5167,35.7667,295.71,71,97,1.58,SD,1697597044
164,tazovsky,67.4667,78.7,278.32,96,100,5.36,RU,1697597044
165,nyurba,63.2842,118.3319,269.36,89,95,2.89,RU,1697597044
166,jamestown,42.097,-79.2353,282.92,100,100,2.57,US,1697596898
167,stanley,54.868,-1.6985,283.16,89,40,4.12,GB,1697597023
168,tarko-sale,64.9225,77.785,277.59,88,100,5.36,RU,1697597044
169,rovaniemi,66.5,25.7167,267.82,93,0,5.14,FI,1697597045
170,dashiqiao,40.6373,122.5025,283.81,84,100,3.16,CN,1697597045
171,sa'dah,16.9402,43.7639,288.76,28,1,2.17,YE,1697597045
172,hasaki,35.7333,140.8333,295.37,57,88,4.08,JP,1697597045
173,micheweni,-4.9667,39.8333,298.69,87,100,2.53,TZ,1697597045
174,aanekoski,62.6946,25.818,272.97,100,26,3.12,FI,1697597046
175,maricopa,33.0581,-112.0476,306.34,18,0,2.57,US,1697597046
176,santa ana de yacuma,-13.75,-65.4333,301.55,52,52,2.43,BO,1697597046
177,bilibino,68.0546,166.4372,258.13,97,99,1.62,RU,1697596705
178,weligama,5.9667,80.4167,297.84,92,100,3.15,LK,1697597046
179,tucuma,-0.1833,-50.05,298.77,88,88,2.94,BR,1697596881
180,ta`u,-14.2336,-169.5144,299.12,83,91,9.1,AS,1697597047
181,susuman,62.7833,148.1667,259.25,62,28,0.45,RU,1697596710
182,kununurra,-15.7667,128.7333,308.14,14,0,4.63,AU,1697597047
183,itoman,26.1247,127.6694,300.58,53,40,3.09,JP,1697597047
184,hamilton,39.1834,-84.5333,283.13,86,75,2.57,US,1697596829
185,sabang,5.8933,95.3214,300.63,72,98,4.2,ID,1697597047
186,sao felix do xingu,-6.6447,-51.995,300.74,41,86,0.96,BR,1697597047
187,cabo san lucas,22.8909,-109.9124,303.32,58,0,2.06,MX,1697596916
188,san rafael,-34.6177,-68.3301,287.64,24,11,2.62,AR,1697596920
189,afaahiti,-17.75,-149.2833,300.08,85,91,7.3,PF,1697597044
190,newman,37.3138,-121.0208,298.28,62,0,0.89,US,1697597034
191,fale old settlement,-9.3852,-171.2468,301.55,73,18,2.95,TK,1697597048
192,walvis bay,-22.9575,14.5053,288.2,88,5,3.09,NA,1697597048
193,weno,7.4515,151.8468,303.12,89,100,3.6,FM,1697597049
194,jayapura,-2.5333,140.7,306.81,70,74,2.76,ID,1697597049
195,albufeira,37.0882,-8.2503,293.16,88,12,4.11,PT,1697596863
196,saynshand,44.8824,110.1163,282.66,21,72,7.9,MN,1697597049
197,port moresby,-9.4431,147.1797,301.83,74,75,5.14,PG,1697596924
198,mbeni,-11.5014,43.3775,296.39,74,91,3.41,KM,1697597049
199,tindouf,27.6711,-8.1474,296.4,27,0,3.09,DZ,1697597049
200,morehead city,34.7229,-76.726,289.26,82,100,2.06,US,1697597050
201,nadym,65.5333,72.5167,277.59,92,100,6.04,RU,1697597050
202,leava,-14.3,-178.1667,299.74,80,61,9.19,WF,1697597050
203,morondava,-20.2833,44.2833,298.66,76,99,2.64,MG,1697597050
204,el calafate,-50.3408,-72.2768,280.29,78,99,1.59,AR,1697597050
205,san antonio,29.4241,-98.4936,293.4,47,0,1.54,US,1697596763
206,gadzhiyevo,69.2551,33.3362,275.49,68,99,6.48,RU,1697597051
207,port lincoln,-34.7333,135.8667,295.11,45,0,3.26,AU,1697597051
208,molchanovo,57.5817,83.7692,282.06,90,13,2.69,RU,1697597051
209,urangan,-25.3,152.9,294.93,62,43,8.46,AU,1697597051
210,alcains,39.9164,-7.4566,290.25,89,81,4.22,PT,1697597051
211,rawah,34.4816,41.9093,293.27,48,0,1.47,IQ,1697597052
212,nagqu,31.5,92.0,270.58,92,100,0.96,CN,1697597052
213,beira,-19.8436,34.8389,295.92,87,97,4.15,MZ,1697597052
214,prado,-17.3411,-39.2208,295.74,84,16,3.25,BR,1697597052
215,posto fiscal rolim de moura,-13.0833,-62.2667,298.59,66,47,1.55,BR,1697597052
216,colonia,50.9333,6.95,280.9,79,0,1.54,DE,1697596863
217,el porvenir,13.7617,-87.3458,294.78,80,85,3.14,HN,1697597053
218,belyy yar,53.6039,91.3903,281.09,81,40,1.0,RU,1697597053
219,tlanchinol,20.9833,-98.65,284.11,89,97,1.72,MX,1697597053
220,usogorsk,63.4106,48.6872,276.3,87,100,2.49,RU,1697597053
221,arkhangel'sk,64.5401,40.5433,277.11,78,100,5.18,RU,1697597053
222,nar'yan-mar,67.6713,53.087,274.32,89,100,4.02,RU,1697597053
223,udachny,66.4167,112.4,263.75,86,94,6.94,RU,1697597054
224,chinchilla,-26.75,150.6333,300.56,23,0,3.14,AU,1697597054
225,klyuchi,52.2667,79.1667,282.52,43,11,3.26,RU,1697597054
226,safford,32.834,-109.7076,299.66,29,0,2.57,US,1697597054
227,utrik,11.2278,169.8474,301.18,80,87,7.91,MH,1697597054
228,fisterra,42.9049,-9.2629,290.94,87,100,9.28,ES,1697597055
229,hailey,43.5196,-114.3153,285.87,54,0,1.79,US,1697596644
230,terra santa,-2.1042,-56.4869,297.44,87,49,1.64,BR,1697597055
231,mitu,1.1983,-70.1733,296.35,93,96,0.87,CO,1697597055
232,hawaiian paradise park,19.5933,-154.9731,299.88,81,75,3.09,US,1697597055
233,port alfred,-33.5906,26.891,289.84,78,0,3.1,ZA,1697597056
234,arquitecto tomas romero pereira,-26.4833,-55.25,293.02,74,81,1.59,PY,1697597056
235,bull savanna,17.8868,-77.5902,298.78,81,13,1.73,JM,1697597056
236,tofol,5.3248,163.0078,301.03,83,75,4.12,FM,1697597056
237,merelani,-3.5618,36.979,293.59,83,100,2.04,TZ,1697597056
238,igarka,67.4667,86.5833,273.42,98,100,9.13,RU,1697597056
239,ormara,25.2088,64.6357,299.08,83,11,0.97,PK,1697597057
240,yangquan,37.8575,113.5633,290.9,36,100,3.01,CN,1697597057
241,biharamulo,-2.6319,31.3089,289.74,84,68,1.11,TZ,1697597057
242,brisas de zicatela,15.8369,-97.0419,299.39,78,87,2.1,MX,1697597057
243,la passe,45.5549,-0.8967,293.28,77,84,9.95,FR,1697597057
244,el haouaria,37.05,11.0144,296.1,70,76,2.99,TN,1697597057
245,al muwayh,22.4333,41.7583,294.23,56,0,2.55,SA,1697597058
246,lindi,-10.0,39.7167,297.91,75,80,2.37,TZ,1697597058
247,newberry,34.2746,-81.6187,287.29,67,0,1.22,US,1697597058
248,hami,42.8,93.45,283.86,42,0,2.07,CN,1697597058
249,prince rupert,54.3161,-130.3201,286.2,83,100,19.03,CA,1697597006
250,tasgaon,17.0333,74.6,300.19,54,26,5.19,IN,1697597058
251,bowling green,36.9903,-86.4436,286.11,77,100,2.57,US,1697597059
252,patacamaya,-17.2333,-67.9167,279.98,82,9,4.61,BO,1697597059
253,samana,19.2056,-69.3369,299.22,89,10,1.71,DO,1697596805
254,treinta y tres,-33.2333,-54.3833,279.09,96,2,3.1,UY,1697597031
255,tarrega,41.647,1.1396,292.3,94,28,1.44,ES,1697597059
256,necochea,-38.5473,-58.7368,279.38,65,0,4.49,AR,1697596897
257,konarka,19.9,86.1167,300.37,69,16,2.29,IN,1697597060
258,valparaiso,-33.0393,-71.6273,285.95,87,40,2.57,CL,1697597060
259,baran,25.1,76.5167,298.38,56,0,2.02,IN,1697596822
260,severnoye,56.3491,78.3619,281.47,91,17,2.68,RU,1697597060
261,harper,4.375,-7.7169,297.8,88,74,1.04,LR,1697597060
262,vorkuta,67.5,64.0,275.44,95,100,4.08,RU,1697597060
263,yemva,62.59,50.8594,276.51,84,100,4.92,RU,1697597061
264,agat village,13.3886,144.6585,303.35,86,75,6.17,GU,1697597061
265,caconda,-13.7333,15.0667,287.46,85,96,1.4,AO,1697597061
266,griffith,41.5284,-87.4237,285.31,91,0,0.0,US,1697596860
267,iskateley,67.6803,53.1512,274.27,89,100,4.02,RU,1697597061
268,port mathurin,-19.6833,63.4167,296.89,80,33,4.28,MU,1697597061
269,qoryooley,1.7878,44.53,298.13,91,16,2.53,SO,1697597062
270,kupino,54.3663,77.2981,283.06,75,40,3.01,RU,1697597062
271,leua,48.2156,18.6071,277.31,75,0,2.21,SK,1697597062
272,rikaze,29.25,88.8833,279.33,38,89,1.69,CN,1697597062
273,axim,4.8699,-2.2405,297.51,91,58,1.68,GH,1697597062
274,portland,45.5234,-122.6762,289.25,89,40,2.06,US,1697596963
275,chinde,26.8418,88.0763,291.85,65,6,1.14,NP,1697597063
276,peace river,56.2501,-117.286,278.32,93,20,2.57,CA,1697596837
277,manaure,11.7751,-72.4445,301.48,79,50,5.77,CO,1697597063
278,vennesla,58.2694,7.9741,273.83,93,100,3.09,NO,1697597063
279,buka,40.8108,69.1986,289.1,29,100,1.03,UZ,1697597063
280,kazlu ruda,54.7667,23.5,280.14,79,100,7.57,LT,1697597064
281,ciudad lazaro cardenas,17.9583,-102.2,298.87,88,100,0.38,MX,1697597064
282,klaksvik,62.2266,-6.589,281.66,87,100,8.36,FO,1697597064
283,santyoku,37.4406,129.1708,294.77,34,100,1.81,KR,1697597064
284,east london,-33.0153,27.9116,288.63,83,0,4.54,ZA,1697597064
285,same,-4.0667,37.7333,292.76,89,100,1.26,TZ,1697597065
286,nemuro,43.3236,145.575,287.42,59,33,5.54,JP,1697597065
287,fort st. john,56.2499,-120.8529,282.09,61,75,4.12,CA,1697596898
288,zouerate,22.7187,-12.4521,301.3,22,34,2.35,MR,1697597065
289,bangui,4.3612,18.555,295.39,94,62,0.69,CF,1697596807
290,boiling springs,35.0465,-81.9818,286.34,63,100,2.06,US,1697597065
291,darende,38.5458,37.5058,285.98,59,27,0.45,TR,1697597066
292,saipan,15.1355,145.701,303.54,79,0,6.17,MP,1697597012
293,sola,-13.8833,167.55,299.07,77,89,5.85,VU,1697597066
294,tibati,6.4667,12.6333,292.23,91,99,1.21,CM,1697597066
